0.027,0.654,0,1,2.56,0.50058,0.0026802,0,1,0,0.019
0.034,0.425,0.02,1,2.331,1,0.0027746,NaN,NaN,NaN,NaN
0.035,0.293,0.017,1,2.183,0.63794,-0.10812,NaN,NaN,NaN,NaN
0.035,0.013,-0.012,1,1.9,0.62979,0.00035789,NaN,NaN,NaN,NaN
0.028,-0.209,-0.01,1,1.682,0.26722,-0.098437,NaN,NaN,NaN,NaN
-0.015,-0.335,-0.022,1,1.553,0.34584,0.011772,NaN,NaN,NaN,NaN
0.007,-0.528,0.027,1,1.364,0.95231,0.0050251,NaN,NaN,NaN,NaN
-0.008,-0.594,-0.019,1,1.293,0.38306,0.10954,NaN,NaN,NaN,NaN
-0,-0.595,-0.019,1,1.1672,0.45174,-0.0015606,NaN,NaN,NaN,NaN
-0.006,-0.368,0.027,1,0.99262,0.52354,-0.1033,NaN,NaN,NaN,NaN
-0.006,-0.321,0.027,1,0.92622,0.44291,-0.0011195,NaN,NaN,NaN,NaN
-0,-0.113,0.03,1,0.71482,0.19307,-0.014359,NaN,NaN,NaN,NaN
-0,-0.074,0.029,1,0.66582,0.45158,0.0049081,NaN,NaN,NaN,NaN
-0,-0.035,0.028,1,0.59622,0.20325,0.098374,NaN,NaN,NaN,NaN
