0.027,0.654,0,1,2.56,2.9374e-06,-0.39369,0,1,0,0.019
0.034,0.425,0.02,1,2.331,1.2845e-05,-0.39285,NaN,NaN,NaN,NaN
0.035,0.293,0.017,1,2.183,5.2472e-05,-0.39245,NaN,NaN,NaN,NaN
0.035,0.013,-0.012,1,1.9,0.00025547,-0.39097,NaN,NaN,NaN,NaN
0.028,-0.209,-0.01,1,1.682,0.0015045,-0.39011,NaN,NaN,NaN,NaN
-0.015,-0.335,-0.022,1,1.553,0.0044403,-0.38964,NaN,NaN,NaN,NaN
0.007,-0.528,0.027,1,1.364,0.015372,-0.38847,NaN,NaN,NaN,NaN
-0.008,-0.594,-0.019,1,1.293,0.027133,-0.38824,NaN,NaN,NaN,NaN
-0,-0.595,-0.019,1,1.1672,0.059865,-0.38727,NaN,NaN,NaN,NaN
-0.006,-0.368,0.027,1,0.99262,0.11653,-0.38556,NaN,NaN,NaN,NaN
-0.006,-0.321,0.027,1,0.92622,0.20367,-0.38514,NaN,NaN,NaN,NaN
-0,-0.113,0.03,1,0.71482,0.25869,-0.38099,NaN,NaN,NaN,NaN
-0,-0.074,0.029,1,0.66582,0.59559,-0.38141,NaN,NaN,NaN,NaN
-0,-0.035,0.028,1,0.59622,1,-0.38093,NaN,NaN,NaN,NaN
