0.027,0.654,0,1,2.56,0.23614,-0.17666,0,1,0,0.019
0.034,0.425,0.02,1,2.331,0.40049,0.0047278,NaN,NaN,NaN,NaN
0.035,0.293,0.017,1,2.183,0.62712,-0.17704,NaN,NaN,NaN,NaN
0.035,0.013,-0.012,1,1.9,0.25675,0.0077886,NaN,NaN,NaN,NaN
0.028,-0.209,-0.01,1,1.682,0.64814,-0.17432,NaN,NaN,NaN,NaN
-0.015,-0.335,-0.022,1,1.553,1,0.0043383,NaN,NaN,NaN,NaN
0.007,-0.528,0.027,1,1.364,0.67351,-0.17908,NaN,NaN,NaN,NaN
-0.008,-0.594,-0.019,1,1.293,0.50522,-0.17454,NaN,NaN,NaN,NaN
-0,-0.595,-0.019,1,1.1672,0.47191,-0.0028593,NaN,NaN,NaN,NaN
-0.006,-0.368,0.027,1,0.99262,0.30216,0.16932,NaN,NaN,NaN,NaN
-0.006,-0.321,0.027,1,0.92622,0.32659,-0.17903,NaN,NaN,NaN,NaN
-0,-0.113,0.03,1,0.71482,0.22311,0.0086252,NaN,NaN,NaN,NaN
-0,-0.074,0.029,1,0.66582,0.084544,0.047624,NaN,NaN,NaN,NaN
-0,-0.035,0.028,1,0.59622,0.21301,0.16879,NaN,NaN,NaN,NaN
