0.027,0.654,0,1,2.56,0.45557,0.21194,0,1,0,0.019
0.034,0.425,0.02,1,2.331,0.52373,-0.067437,NaN,NaN,NaN,NaN
0.035,0.293,0.017,1,2.183,0.57873,-0.066136,NaN,NaN,NaN,NaN
0.035,0.013,-0.012,1,1.9,1,0.20946,NaN,NaN,NaN,NaN
0.028,-0.209,-0.01,1,1.682,0.43108,-0.077306,NaN,NaN,NaN,NaN
-0.015,-0.335,-0.022,1,1.553,0.38404,-0.074655,NaN,NaN,NaN,NaN
0.007,-0.528,0.027,1,1.364,0.25625,-0.043904,NaN,NaN,NaN,NaN
-0.008,-0.594,-0.019,1,1.293,0.1742,-0.038056,NaN,NaN,NaN,NaN
-0,-0.595,-0.019,1,1.1672,0.30945,0.20376,NaN,NaN,NaN,NaN
-0.006,-0.368,0.027,1,0.99262,0.21038,0.23782,NaN,NaN,NaN,NaN
-0.006,-0.321,0.027,1,0.92622,0.11888,0.26363,NaN,NaN,NaN,NaN
-0,-0.113,0.03,1,0.71482,0.2931,-0.052531,NaN,NaN,NaN,NaN
-0,-0.074,0.029,1,0.66582,0.29613,-0.050769,NaN,NaN,NaN,NaN
-0,-0.035,0.028,1,0.59622,0.18178,-0.042054,NaN,NaN,NaN,NaN
